League,API Team Name,Current Short Name (if mapped),Suggested Short Name,Notes
Premier League,Arsenal,,,Already short
Premier League,Aston Villa,Villa,Villa,"Matches current map, unchanged"
Premier League,Bournemouth,,,Already short
Premier League,Brentford,,,Already short
Premier League,Brighton,,,"Already short (API already drops ""& Hove Albion"")"
Premier League,Chelsea,,,Already short
Premier League,Coventry,,,"Already short (API already drops ""City"")"
Premier League,Crystal Palace,Palace,Palace,"Matches current map, unchanged"
Premier League,Everton,,,Already short
Premier League,Fulham,,,Already short
Premier League,Hull City,Hull,Hull,New — not previously mapped under this real name
Premier League,Ipswich,,,"Already short (API already drops ""Town"")"
Premier League,Leeds,,,"Already short (API already drops ""United"") — old ""Leeds United"" key never matched"
Premier League,Liverpool,,,Already short
Premier League,Manchester City,Man City,Man City,"Matches current map, unchanged"
Premier League,Manchester United,Man Utd,Man Utd,"Matches current map, unchanged"
Premier League,Newcastle,,,"Already short (API already drops ""United"") — old ""Newcastle United"" key never matched"
Premier League,Nottingham Forest,Nott'm Forest,Nott'm Forest,"Matches current map, unchanged"
Premier League,Sunderland,,,Already short
Premier League,Tottenham,,Tottenham,"API already drops ""Hotspur"" — old key never matched. ""Spurs"" is still shorter/more recognizable if you want it; leave blank to just keep ""Tottenham"""
Championship,Birmingham,,,Already short
Championship,Blackburn,,,Already short
Championship,Bolton,,,Already short
Championship,Bristol City,,,Reasonably short as-is
Championship,Burnley,,,Already short
Championship,Cardiff,,,Already short
Championship,Charlton,,,Already short
Championship,Derby,,,Already short
Championship,Lincoln,,,Already short
Championship,Middlesbrough,Boro,Boro,"Matches current map, unchanged"
Championship,Millwall,,,Already short
Championship,Norwich,,,Already short
Championship,Portsmouth,,,Already short
Championship,Preston,,,Already short
Championship,QPR,,,Already short (own initials)
Championship,Sheffield Utd,Sheff Utd,Sheff Utd,"Matches current map (fixed last round), unchanged"
Championship,Southampton,,,Already short
Championship,Stoke City,Stoke,Stoke,"Matches current map, unchanged"
Championship,Swansea,,,Already short
Championship,Watford,,,Already short
Championship,West Brom,,,Already reasonably short
Championship,West Ham,,,"Already short (API already drops ""United"") — old key never matched"
Championship,Wolves,,,"Already short (API already drops ""Wanderers"") — old key never matched"
Championship,Wrexham,,,Already short
